Real Time,User Time,Sys Time
20.2432,61.1212,67.1333
71.0645,45.3023,24.1923
71.0645,45.3023,24.1923
48.8462,26.2059,73.4815
22.2692,70.4516,46.907
21.9677,50.5405,69.6562
21.9677,50.5405,69.6562
75.5,49.3721,22.3871
68.1875,20.2432,59.6452
68.1875,59.6452,20.2432
68.1875,59.6452,20.2432
20.697,54.825,70.5185
48.2955,23.0667,75.5
74.8,22.5,50.9302
70.5185,54.825,20.697
70.5185,54.825,20.697
45.625,75.5,24.1154
20.2432,59.6452,68.1875
22.2692,70.4375,46.3571
22.2692,70.4375,46.3571
46.907,70.4516,22.2692
33.7812,77.1429,30.2727
40.3333,79.4815,29.25
40.3333,79.4815,29.25
75.5,46.1915,23.9259
61.1212,67.1333,20.2432
46.1915,23.9259,75.5
46.1915,23.9259,75.5
67.1333,61.1212,20.2432
29.25,40.3333,79.4815
75.5,46.1915,23.9259
50.9302,74.8,22.5
50.9302,74.8,22.5
48.8462,26.2059,73.4815
40.3333,79.4815,29.25
79.4815,29.25,40.3333
79.4815,29.25,40.3333
30.2727,77.1429,33.7812
22.5,74.8,50.9302
70.5185,20.697,54.825
70.5185,20.697,54.825
73.4815,48.8462,26.2059
20.2432,68.1875,59.6452
22.5,50.9302,74.8
74.3889,27.3103,37.4286
74.3889,27.3103,37.4286
78.75,27.8929,40.7727
75.5,45.625,24.1154
36.5,79.9643,33.7812
36.5,79.9643,33.7812
48.8462,26.2059,73.4815
70.4516,22.2692,46.907
29.25,40.3333,79.4815
29.25,40.3333,79.4815
75.5,23.9259,46.1915
23.0667,48.2955,75.5
68.1875,59.6452,20.2432
68.1875,59.6452,20.2432
25.7222,50.5405,73.4815
28.3871,45.8636,75.28
45.3023,71.0645,24.1923
20.2432,68.1875,59.6452
20.2432,68.1875,59.6452
70.4516,22.2692,46.907
22.5,74.8,50.9302
67.1333,61.1212,20.2432
67.1333,61.1212,20.2432
23.9259,46.1915,75.5
22.2692,70.4516,46.907
68.1875,59.6452,20.2432
68.1875,59.6452,20.2432
29.25,79.4815,40.3333
27.8929,40.7727,78.75
22.2692,46.907,70.4516
22.2692,46.907,70.4516
20.2432,61.1212,67.1333
33.7812,30.2727,77.1429
21.3,50.5405,68.8182
20.2432,67.1333,61.1212
20.2432,67.1333,61.1212
72.4865,39.7027,24.1923
46.3571,70.4375,22.2692
72.4865,39.7027,24.1923
72.4865,39.7027,24.1923
33.7812,78.5625,32.9167
46.907,70.4516,22.2692
22.2692,46.907,70.4516
22.2692,46.907,70.4516
79.1379,36.5,33.0645
28.1481,41.4565,78.2593
46.0889,76.0833,28.3871
50.5405,21.9677,69.6562
50.5405,21.9677,69.6562
74.8,50.9302,22.5
30.2727,77.2188,37.4286
75.5,46.1915,23.9259
75.5,46.1915,23.9259
50.3636,74.8,22.3871
70.5185,54.825,20.697
74.8,22.5,50.9302
74.8,22.5,50.9302
22.5,74.8,50.9302
20.2432,68.1875,59.6452
68.1875,20.2432,59.6452
68.1875,20.2432,59.6452
71.0645,45.3023,24.1923
24.1154,45.625,75.5
75.5,23.9259,46.1915
22.2692,46.907,70.4516
22.2692,46.907,70.4516
28.3871,46.0889,76.0833
20.2432,61.1212,67.1333
30.2727,35.2121,77.0294
30.2727,35.2121,77.0294
75.5,23.0667,48.2955
41.4565,28.1481,78.2593
67.1333,20.2432,61.1212
67.1333,20.2432,61.1212
48.8462,73.4815,26.2059
50.5405,73.4815,25.7222
70.4516,46.907,22.2692
70.4516,46.907,22.2692
70.4375,46.3571,22.2692
46.907,70.4516,22.2692
45.625,75.5,24.1154
46.3571,22.2692,70.4375
46.3571,22.2692,70.4375
46.1915,23.9259,75.5
23.0667,48.2955,75.5
59.6452,68.1875,20.2432
59.6452,68.1875,20.2432
70.4375,22.2692,46.3571
48.2955,23.0667,75.5
33.7812,30.2727,77.1429
33.7812,30.2727,77.1429
29.25,79.4815,40.3333
70.5185,20.697,54.825
61.1212,67.1333,20.2432
61.1212,67.1333,20.2432
70.4516,46.907,22.2692
22.2692,46.3571,70.4375
59.6452,20.2432,68.1875
75.5,23.9259,46.1915
75.5,23.9259,46.1915
70.4516,46.907,22.2692
77.1429,30.2727,33.7812
22.3871,75.5,49.3721
22.3871,75.5,49.3721
29.25,40.3333,79.4815
23.9259,75.5,46.1915
24.1923,72.4865,39.7027
24.1923,72.4865,39.7027
28.1481,78.75,40.3333
77.1429,30.2727,33.7812
22.2692,46.907,70.4516
22.2692,46.907,70.4516
50.9302,74.8,22.5
20.697,70.5185,54.825
24.1154,45.625,75.5
24.1154,45.625,75.5
46.3571,22.2692,70.4375
50.3636,22.3871,74.8
46.907,70.4516,22.2692
24.1923,45.3023,71.0645
24.1923,45.3023,71.0645
22.5,74.8,50.9302
26.2059,48.8462,73.4815
71.0645,45.3023,24.1923
71.0645,45.3023,24.1923
74.8,22.5,50.9302
20.697,54.825,70.5185
41.1282,29.4062,77.069
41.1282,29.4062,77.069
29.25,40.3333,79.4815
46.907,70.4516,22.2692
75.5,24.1154,45.625
75.5,24.1154,45.625
73.4815,50.5405,25.7222
25.7222,50.5405,73.4815
50.5405,25.7222,73.4815
20.2432,61.1212,67.1333
20.2432,61.1212,67.1333
70.4516,46.907,22.2692
39.7027,24.1923,72.4865
22.5,74.8,50.9302
22.5,74.8,50.9302
54.825,70.5185,20.697
46.3571,22.2692,70.4375
30.2727,77.0294,35.2121
67.1333,61.1212,20.2432
67.1333,61.1212,20.2432
